Vivo ou Morto: Um Mistério Knives Out,2025,7.5/10,Benoit Blanc returns for his most dangerous case yet.
Dhurandhar,2025,8.6/10,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within."
Jay Kelly,2025,6.6/10,"Famous movie actor Jay Kelly embarks on a journey of self-discovery, confronting his past and present with his devoted manager Ron. Poignant and humor-filled, pitched at the intersection of ... Read all"
Five Nights at Freddy's 2,2025,5.5/10,"One year after the supernatural nightmare at Freddy Fazbear's Pizza, Abby runs away to reconnect with her animatronic friends, uncovering dark secrets about the true origins of Freddy's and ... Read all"
O Sobrevivente,2025,6.5/10,"A man joins a game show in which contestants, allowed to flee anywhere in the world, are pursued by ""hunters"" hired to kill them."
Entre Facas e Segredos,2019,7.9/10,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investi... Read all"
Zootopia 2,2025,7.6/10,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers."
Uma Batalha Após a Outra,2025,7.9/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own."
Avatar: Fogo e Cinzas,2025,7.6/10,"Jake and Neytiri's family grapples with grief after Neteyam's death, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora e... Read all"
F1: O Filme,2025,7.7/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Um. Natal. Surreal.,2025,5.3/10,"Claire plans a special Christmas, but is forgotten by her family. When they realize that she's missing, their holiday is at risk until she returns to give them the celebration they deserve."
Frankenstein,2025,7.5/10,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic cr... Read all"
Glass Onion: Um Mistério Knives Out,2022,7.1/10,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
O SEGREDO DO PAPAI NOEL,2025,5.7/10,"Taylor disguises as Santa at a resort to fund her daughter's ski lessons. Working with the charming manager Matthew, she finds holiday cheer and a chance at love amidst challenges."
Bugonia,2025,7.5/10,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth."
Esqueceram de Mim,1990,7.7/10,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
"Morra, Amor",2025,6.2/10,"Grace, a writer and young mother, is slowly slipping into madness. Locked away in an old house in and around Montana, we see her acting increasingly agitated and erratic, leaving her compani... Read all"
Sonhos de Trem,2025,7.5/10,"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-... Read all"
Simplesmente Amor,2003,7.5/10,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Férias Frustradas de Natal,1989,7.5/10,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
Predador: Terras Selvagens,2025,7.4/10,A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.
Hunting Season,2025,5.6/10,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a bruta... Read all"
O Grinch,2000,6.4/10,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
